REMPLI AUTOMATIQUEMENT par le script (donnees auto + tes reponses aux questions de fin d'essai). Garde l'Excel FERME pendant un run. Tu peux corriger une cellule JAUNE a la main. La Synthese se met a jour seule.,,,,,,,,,,,,,,,,
objet,detecteur,timestamp,position,trial,success,n_attempts,duration_s,grasp_pose_error_mm,cam2_correction_mm,last_gripper_pct,last_margin_pct,error,orientation,depose_boite,mode_echec,notes
orange_cube,hf,2026-06-27T17:02:14,proche,1,1,1,57.75,0.1914097536096929,22.16551784683505,10.59379217273954,5.593792172739541,,,oui,,
orange_cube,hf,2026-06-27T17:03:22,proche,1,1,1,59.53,0.2492409790381502,7.295077103881581,10.79622132253711,5.796221322537113,,,oui,,
orange_cube,hf,2026-06-27T17:04:28,proche,1,1,2,78.96,0.4427134493615975,16.8379926677702,10.99865047233468,5.998650472334683,,,oui,,"premiere tentative raté dû à l'orientation de l'l'objet, saisi sur la tranche et glisser entre les pinces"
orange_cube,hf,2026-06-27T17:06:44,proche,1,1,2,71.22,0.3869768965366296,29.35899289985131,11.33603238866397,6.336032388663968,,,oui,,"glisser entre les pinces, mauvaise prise sur premiere tentative"
orange_cube,hf,2026-06-27T17:08:44,proche,1,1,2,82.02,0.4148115837622081,22.05436083365338,10.99865047233468,5.998650472334683,,,oui,,"glisser entre les pinces, saisi sur tranche premiere tentative"
orange_cube,hf,2026-06-27T17:10:55,proche,1,1,1,59.37,0.1636127775693318,9.089214645523482,16.12685560053981,11.12685560053981,,,oui,,saisi sur tranche parfaite
orange_cube,hf,2026-06-27T17:12:07,proche,1,1,1,56.66,0.2685814182877971,3.869372373286593,12.07827260458839,7.078272604588394,,,oui,,
orange_cube,hf,2026-06-27T17:13:29,proche,1,1,1,57.52,0.2454079710987742,7.350913886502793,11.1336032388664,6.133603238866396,,,oui,,
orange_cube,hf,2026-06-27T17:17:55,mi,1,1,2,78.28,2.871915527953771,26.74545221594968,11.80836707152497,6.808367071524966,,,oui,,pas très bien positionner mais réussi sur 2e tentative
orange_cube,hf,2026-06-27T17:27:02,mi,1,0,2,69.91,8.400861317648435,22.65225536555576,5.3306342780027,0.3306342780026998,,,non,E1,"trop sur la gauche de l'objet, et pire pour la 1e tentative"
orange_cube,hf,2026-06-27T17:29:27,mi,1,0,0,16.71,,,,,,,non,E2,"mauvaise stéréo qui empeche la saisi, objet pourtant à portée"
orange_cube,hf,2026-06-27T17:30:41,mi,1,1,1,58.84,5.090893611772981,9.704035916694197,12.88798920377868,7.887989203778677,,,oui,,
orange_cube,hf,2026-06-27T17:31:46,mi,1,1,1,60.16,2.011456687175697,7.626019933694189,12.68556005398111,7.685560053981106,,,oui,,
orange_cube,hf,2026-06-27T17:33:01,mi,1,1,2,83.24,7.805975172084414,13.71976922654933,20.71524966261808,15.71524966261808,,,oui,,"E1 sur 1e tentative et objet bougé, angle changé et réussi sur 2e tentative"
orange_cube,hf,2026-06-27T17:36:07,mi,1,1,1,57.75,2.10461705401976,9.051617170583283,12.28070175438596,7.280701754385964,,,oui,,
orange_cube,hf,2026-06-27T17:37:25,mi,1,0,0,17.93,,,,,,,non,E2,stéréo qui déconne
orange_cube,hf,2026-06-27T17:42:56,mi,1,1,2,81.4,7.817805943515138,20.32068777321953,10.32388663967611,5.323886639676113,,,oui,,"E5 sur 1e tentative, réussi de justesse sur 2e tentative"
orange_cube,hf,2026-06-27T17:47:21,mi,1,1,1,65.23,0.7069883627977118,,14.5748987854251,9.5748987854251,,,oui,,
orange_cube,hf,2026-06-27T17:49:03,loin,1,1,1,58.25,2.179413140488424,8.391677611719906,10.79622132253711,5.796221322537113,,,oui,,
orange_cube,hf,2026-06-27T17:51:10,loin,1,1,2,82.49,7.986559219597334,10.95507259395496,11.33603238866397,6.336032388663968,,,oui,,E1 et E3 sur 1e tentative
orange_cube,hf,2026-06-27T17:53:35,loin,1,1,1,58.96,2.472077156624988,5.567349307473608,12.55060728744939,7.550607287449392,,,oui,,
orange_cube,hf,2026-06-27T17:54:54,loin,1,0,2,79.92,7.168310061482519,11.04338820778991,5.195681511470985,0.1956815114709851,,,non,,mauvais tilt roll offset
orange_cube,hf,2026-06-27T19:28:19,loin,1,0,2,76.48,6.702661032421669,13.83327734536867,5.195681511470985,0.1956815114709851,,,non,E3,mauvaise perception et donc saisi à vide
orange_cube,hf,2026-06-27T19:30:31,loin,1,1,2,83.89,0.994310158190957,7.498586509803282,11.74089068825911,6.740890688259109,,,oui,,
orange_cube,hf,2026-06-27T19:32:10,loin,1,1,1,59.24,2.471804938298629,6.207385971068793,11.87584345479082,6.875843454790823,,,oui,,
orange_cube,hf,2026-06-27T19:34:18,loin,1,0,2,73,6.098400547508779,14.39101703014879,5.195681511470985,0.1956815114709851,,,non,E3,"mauvaise perception, et donc fermé devant dans le vide"
orange_cube,hf,2026-06-27T19:36:53,loin,1,1,1,59.86,0.7873606109324659,8.076834098267263,11.40350877192982,6.403508771929824,,,oui,,
orange_cube,hf,2026-06-27T19:38:34,loin,1,0,2,74.45,5.63692941621454,10.61022506575055,5.195681511470985,0.1956815114709851,,,non,E3,"mauvaise perception, saisi devant dans le vide"
purple_cylinder,hsv,2026-06-28T10:59:38,proche,1,1,2,84.79,0.3438518785560759,3.608259344075865,8.974358974358974,3.974358974358974,,debout,oui,,E1 sur 1e tentetive
purple_cylinder,hsv,2026-06-28T11:01:49,proche,1,1,1,51.63,0.2302093759435807,12.98522570968676,9.446693657219974,4.446693657219974,,couche,oui,,
purple_cylinder,hsv,2026-06-28T11:02:54,proche,1,1,1,48.62,0.1423312665641402,9.044620360927784,9.446693657219974,4.446693657219974,,couche,oui,,
purple_cylinder,hsv,2026-06-28T11:04:22,mi,1,0,2,84.51,0.2958256321011666,3.069136539972953,5.263157894736842,0.2631578947368416,,debout,non,E1,saisi devant et dans le vide même si contact à la fermeture
